Time,Resistor Voltage,Capacitor Voltage,,
s,V,V,,
7.8,1.022594811,0.229137277,,
7.9,1.022594811,0.23218978,,
8,1.019542308,0.235242283,,
8.1,1.016489805,0.235242283,,
8.2,1.022594811,0.244399792,,
8.3,1.013437302,0.256609805,,
8.4,1.001227289,0.259662308,,
8.5,1.013437302,0.265767314,,
8.6,1.013437302,0.268819817,,
8.7,1.010384799,0.27187232,,
8.8,1.010384799,0.274924823,,
8.9,1.007332295,0.277977326,,
9,1.007332295,0.277977326,,
9.1,1.001227289,0.281029829,,
9.2,1.004279792,0.296292344,,
9.3,1.007332295,0.299344847,,
9.4,1.004279792,0.30239735,,
9.5,1.007332295,0.305449853,,
9.6,1.007332295,0.31155486,,
9.7,1.001227289,0.314607363,,
9.8,1.013437302,0.317659866,,
9.9,1.013437302,0.317659866,,
10,1.013437302,0.320712369,,
10.1,1.004279792,0.320712369,,
10.2,1.013437302,0.339027387,,
10.3,1.013437302,0.34207989,,
10.4,0.998174786,0.345132393,,
10.5,1.010384799,0.345132393,,
10.6,1.007332295,0.354289902,,
10.7,0.998174786,0.351237399,,
10.8,1.013437302,0.363447411,,
10.9,1.010384799,0.372604921,,
11,0.998174786,0.369552418,,
11.1,1.004279792,0.372604921,,
11.2,0.998174786,0.372604921,,
11.3,0.998174786,0.384814933,,
11.4,0.998174786,0.390919939,,
11.5,0.99206978,0.393972442,,
11.6,0.995122283,0.393972442,,
11.7,0.99206978,0.390919939,,
11.8,0.989017277,0.409234957,,
11.9,0.985964774,0.409234957,,
12,0.989017277,0.415339963,,
12.1,0.985964774,0.421444969,,
12.2,0.970702259,0.41228746,,
12.3,0.979859768,0.421444969,,
12.4,0.982912271,0.433654982,,
12.5,0.976807265,0.436707485,,
12.6,0.979859768,0.439759988,,
12.7,0.979859768,0.442812491,,
12.8,0.976807265,0.436707485,,
12.9,0.970702259,0.45197,,
13,0.985964774,0.455022503,,
13.1,0.979859768,0.461127509,,
13.2,0.970702259,0.461127509,,
13.3,0.982912271,0.461127509,,
13.4,0.982912271,0.473337521,,
13.5,0.976807265,0.476390024,,
13.6,0.982912271,0.479442527,,
13.7,0.982912271,0.479442527,,
13.8,0.979859768,0.482495031,,
13.9,0.976807265,0.494705043,,
14,0.989017277,0.497757546,,
14.1,0.982912271,0.500810049,,
14.2,0.973754762,0.500810049,,
14.3,0.982912271,0.500810049,,
14.4,0.982912271,0.516072564,,
14.5,0.976807265,0.52217757,,
14.6,0.985964774,0.52217757,,
14.7,0.979859768,0.519125067,,
14.8,0.979859768,0.534387582,,
14.9,0.982912271,0.534387582,,
15,0.982912271,0.540492589,,
15.1,0.976807265,0.543545092,,
15.2,0.967649756,0.537440085,,
15.3,0.970702259,0.552702601,,
15.4,1.010384799,0.558807607,,
15.5,1.016489805,0.558807607,,
15.6,1.022594811,0.555755104,,
15.7,1.019542308,0.574070122,,
15.8,1.010384799,0.574070122,,
15.9,1.028699817,0.571017619,,
16,1.022594811,0.583227631,,
16.1,1.028699817,0.586280134,,
16.2,1.028699817,0.59238514,,
16.3,1.022594811,0.589332637,,
16.4,1.043962332,0.60154265,,
16.5,1.037857326,0.604595153,,
16.6,1.037857326,0.598490147,,
16.7,1.03175232,0.616805165,,
16.8,1.028699817,0.616805165,,
16.9,1.028699817,0.619857668,,
17,1.022594811,0.625962674,,
17.1,1.028699817,0.622910171,,
17.2,1.019542308,0.638172686,,
17.3,1.022594811,0.635120183,,
17.4,1.010384799,0.644277692,,
17.5,1.016489805,0.650382698,,
17.6,1.016489805,0.644277692,,
17.7,1.022594811,0.656487705,,
17.8,1.016489805,0.662592711,,
17.9,0.998174786,0.665645214,,
18,1.010384799,0.668697717,,
18.1,1.007332295,0.668697717,,
18.2,1.013437302,0.680907729,,
18.3,1.007332295,0.677855226,,
18.4,0.995122283,0.690065238,,
18.5,1.004279792,0.693117741,,
18.6,1.001227289,0.693117741,,
18.7,0.99206978,0.70227525,,
18.8,0.998174786,0.696170244,,
18.9,0.989017277,0.711432759,,
19,0.995122283,0.711432759,,
19.1,0.995122283,0.720590269,,
19.2,0.99206978,0.717537766,,
19.3,0.989017277,0.729747778,,
19.4,0.979859768,0.729747778,,
19.5,0.989017277,0.732800281,,
19.6,0.985964774,0.738905287,,
19.7,0.989017277,0.738905287,,
19.8,0.989017277,0.748062796,,
19.9,0.985964774,0.745010293,,
20,0.995122283,0.754167802,,
20.1,0.989017277,0.754167802,,
20.2,0.998174786,0.763325311,,
20.3,0.998174786,0.766377814,,
20.4,0.995122283,0.772482821,,
20.5,0.99206978,0.778587827,,
20.6,0.995122283,0.778587827,,
20.7,0.995122283,0.787745336,,
20.8,0.998174786,0.784692833,,
20.9,0.998174786,0.796902845,,
21,0.998174786,0.787745336,,
21.1,0.995122283,0.803007851,,
21.2,0.982912271,0.806060354,,
21.3,0.99206978,0.806060354,,
21.4,0.982912271,0.818270366,,
21.5,0.995122283,0.809112857,,
21.6,0.989017277,0.824375372,,
21.7,0.995122283,0.824375372,,
21.8,0.985964774,0.827427875,,
21.9,0.99206978,0.836585385,,
22,0.99206978,0.833532882,,
22.1,0.99206978,0.842690391,,
22.2,0.995122283,0.8518479,,
22.3,0.995122283,0.842690391,,
22.4,0.989017277,0.854900403,,
22.5,0.99206978,0.861005409,,
22.6,0.985964774,0.867110415,,
22.7,0.99206978,0.857952906,,
22.8,0.982912271,0.873215421,,
22.9,0.998174786,0.879320427,,
23,0.989017277,0.88237293,,
23.1,0.99206978,0.879320427,,
23.2,0.998174786,0.89153044,,
23.3,1.001227289,0.897635446,,
23.4,0.998174786,0.888477937,,
23.5,0.99206978,0.903740452,,
23.6,0.995122283,0.906792955,,
23.7,0.99206978,0.912897961,,
23.8,0.995122283,0.912897961,,
23.9,0.99206978,0.912897961,,
24,0.995122283,0.92205547,,
24.1,0.99206978,0.931212979,,
24.2,0.989017277,0.931212979,,
24.3,0.985964774,0.931212979,,
24.4,0.995122283,0.940370488,,
24.5,1.001227289,0.946475495,,
24.6,1.004279792,0.949527998,,
24.7,0.998174786,0.943422991,,
24.8,0.995122283,0.955633004,,
24.9,0.99206978,0.96173801,,
25,0.995122283,0.967843016,,
25.1,1.004279792,0.96173801,,
25.2,1.034804823,0.967843016,,
25.3,1.022594811,0.980053028,,
25.4,1.037857326,0.986158034,,
25.5,1.043962332,0.989210537,,
25.6,1.034804823,0.99226304,,
25.7,1.037857326,0.998368046,,
25.8,1.034804823,0.995315543,,
25.9,1.03175232,0.995315543,,
26,1.03175232,1.004473053,,
26.1,1.016489805,1.013630562,,
26.2,1.022594811,1.019735568,,
26.3,1.019542308,1.022788071,,
26.4,1.010384799,1.028893077,,
26.5,1.016489805,1.034998083,,
26.6,1.001227289,1.038050586,,
26.7,1.022594811,1.044155592,,
26.8,1.025647314,1.047208095,,
26.9,1.019542308,1.053313101,,
27,1.019542308,1.056365604,,
